"review_movie_title","review_movie_title_url","review_name","review_url","review_comment","review_username","review_username_url","review_date","review_rating"
"","","the shawshank redemption","https://www.imdb.com/review/rw6158379/?ref_=tt_urv","The best movie in history and the best ending in any entertainment business
38 out of 44 found this helpful. Was this review helpful? Sign in to vote.
Permalink","auuwws","https://www.imdb.com/user/ur118977607/?ref_=tt_urv","8 October 2020","10"
"","","My favorite movie of all time.","https://www.imdb.com/review/rw5504423/?ref_=tt_urv","","MrHeraclius","https://www.imdb.com/user/ur87850731/?ref_=tt_urv","23 February 2020",""
"","","Simply known as ""The Movie""","https://www.imdb.com/review/rw0349059/?ref_=tt_urv","Whenever I talk about this movie with my friends, I do not even refer to it by title, but rather as ""The Movie"". When I say ""The Movie"", my friends know exactly what I'm talking about. In fact the main reason that me and my friends don't refer to it by title is because this movie is so great, that we do not feel worthy enough to say it's name in vain! I still remember the first time I saw The Shawshank Redemption. Some friends of mine and I went to see it at one of those ""Budget Theaters"" over the summer of 1995. None of us really knew anything about the movie, but we had heard that it was pretty good. So, not having any real expectations, we saw it. When the final credits rolled and the lights came on in the theater, all of us just sat there with our jaws hanging down on the floor. I turned my head towards my friend Bob and said ""That was the greatest movie I have ever seen in my entire life!"" There's really no other way I can put it in words. Every moment of this movie captivated me and inspired me to believe in the one true thing in life...... ""HOPE"". This movie is sad, uplifting, inspiring, harsh, cold, funny (at the right times), jaw-dropping, and heart-warming all at the same time. I get chills every time I watch this film and this film contains the greatest ending (which takes place over the last 30 minutes or so)in movie history! How it all just ""comes together"" is so incredible and uplifting. I should also mention the music in this movie is nearly flawless as well, and the soundtrack is a ""must buy"" for any music fan. The only bad thing about this movie is the fact that I know I will never see a better movie, no matter how many I may see. I've seen many movies over the past few years, many excellent films. However, every time I walk out of the theater, I turn to my friend or family member that I saw it with and I say, ""That was a great movie, but it wasn't nearly as good as 'you know what'!"" There have been many movies over the past few years that thought would really move me or that I might one day call my ""favorite of all time"", but they've all fallen far short of ""The Shawshank Redemption"". So, if you have yet to see this movie, please run to the video store immediately. You're guaranteed to find it in the ""employee picks"" section. And if it isn't in that section, then you should tell the employees there that there is something seriously wrong with them. If you have seen this movie, go see it again. If you haven't bought your own copy yet, buy one. In fact buy two, and put one in a fire-proof safe, just in case of an emergency. :o) So, you want a 1-10 rating??? I give it a 13!!!!!!","schnad","https://www.imdb.com/user/ur0174908/?ref_=tt_urv","6 February 1999","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Simply amazing. The best film of the 90's.","https://www.imdb.com/review/rw0348616/?ref_=tt_urv","592 out of 761 found this helpful. Was this review helpful? Sign in to vote.
Permalink","reismark","https://www.imdb.com/user/ur0842118/?ref_=tt_urv","6 September 2000","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","""I'm a convicted murderer who provides sound financial planning"".","https://www.imdb.com/review/rw2466777/?ref_=tt_urv","34 out of 42 found this helpful. Was this review helpful? Sign in to vote.
Permalink","classicsoncall","https://www.imdb.com/user/ur2707735/?ref_=tt_urv","30 July 2011","10"
"","","Prepare to be moved","https://www.imdb.com/review/rw0348718/?ref_=tt_urv","","speedreid","https://www.imdb.com/user/ur1005460/?ref_=tt_urv","8 February 2001",""
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","""I Had To Go To Prison To Learn To Be A Crook""","https://www.imdb.com/review/rw2387096/?ref_=tt_urv","62 out of 81 found this helpful. Was this review helpful? Sign in to vote.
Permalink","bkoganbing","https://www.imdb.com/user/ur2483625/?ref_=tt_urv","17 February 2011","9"
"","","Shawshank Redeems Hollywood","https://www.imdb.com/review/rw0349147/?ref_=tt_urv","Can Hollywood, usually creating things for entertainment purposes only, create art? To create something of this nature, a director must approach it in a most meticulous manner, due to the delicacy of the process. Such a daunting task requires an extremely capable artist with an undeniable managerial capacity and an acutely developed awareness of each element of art in their films, the most prominent; music, visuals, script, and acting. These elements, each equally important, must succeed independently, yet still form a harmonious union, because this mixture determines the fate of the artist's opus. Though already well known amongst his colleagues for his notable skills at writing and directing, Frank Darabont emerges with his feature film directorial debut, The Shawshank Redemption. Proving himself already a master of the craft, Darabont managed to create one of the most recognizable independent releases in the history of Hollywood. The Shawshank Redemption defines a genre, defies the odds, compels the emotions, and brings an era of artistically influential films back to Hollywood.
The story begins with the trial of a young banker, Andy Dufrense, victimized by circumstantial evidence, resulting in a conviction for the murder of his wife and her lover. After a quick conviction, Andy finds himself serving a life sentence at Shawshank prison, with no hope of parole. He exists in this prison only in appearance, keeping his mind free from the drab walls around him. His ability to do this results in the gaining of respect from his fellow inmates, but most of all from Ellis Redding. Ellis, commonly referred to as Red, finds gainful use of his entrepreneurial spirit within the drab walls of Shawshank by dealing in contraband and commodities rare to the confines of prison. Andy's demeanor and undeniable sense of hope causes Red to take a deeper look at himself, and the world around him. Andy proves to Red and the other inmates that in the conventional walls of Shawshank prison convention will find no home in his lifestyle.
By creating the film's firm foundation, the meticulously chiseled screenplay paved the way for this film's success. Frank Darabont outdoes himself with the phenomenal adaptation of Stephen King's equally noteworthy novella, Rita Hayworth and Shawshank Redemption. In this novella, King demonstrates that he can break free from the genre he dominates and still create a marvelous piece of modern literature. Though the film mirrors the novella in many ways, Darabont illustrates a focused objective of improving upon the areas where the novella came up short, resulting in one of the best book to film transitions ever.
While maintaining some of the poetic and moving dialogue of the novella, Darabont also proves that a film's score can generate a great deal of emotional response from its audience, as dialogue does. He employs the cunning Thomas Newman, son of the legendary Hollywood composer, Alfred Newman. Darabont shows recognition for the film's needs by employing Newman, who makes the gentle piano chords whisper softly to the viewer, as if a part of the scripted dialogue. Newman lends himself to individualism and tends to drive more towards the unique in the realm of score composition. His effort in Shawshank did not go unnoticed, as his score received an Oscar nomination in 1995. While unique and independent, Newman's score never once intrudes on your concentration or distracts from the film.
With work from vast array of talented scene designers, costume designers, composers, cinematographers, and various other Hollywood artists, the cast of The Shawshank Redemption had a strong foundation to work with. The marvelous cast of this film will dazzle you with some of the most convincing performances you will witness in a film. While both Tim Robbins and Morgan Freeman shine as Andy and Red, respectively, the true spectacle of acting lies within the plethora of amazing supporting actors who easily disappear into their roles. Most noticeable of these, the veteran film star James Whitmore, who portrays the elderly Brooks Hatlen. Brooks, a man incarcerated for an unmentioned crime for so long that he finds himself attached to the Shawshank and the daily life he has lead. Each of these actors show a true dedication to their art, and a focused purpose in their motivations, creating a convincing setting that never once caters to anything unbelievable.
With all of the aesthetic touches and attention to cinematic detail, the most beautiful part of the film lies within its thematic material, such as its focus on the human desires for the most abstract concepts, like hope and freedom. These themes, which concern things the human spirit undoubtedly yearns for, seem so intricately woven into the plot that it easily draws its audience in to its story. Though full of hardened criminals, your heart will go out to these men as they display the most basic of human emotions, and deliver some of the most quotable lines in a film to date. Like a great novel, this film manages to succeed at greater things than simply entertaining an audience. Darabont tells his story most masterfully, illustrating principles and inspiring his audience to think. He leaves us a poignant film with a powerful message of hope, and redemption, something we all seek.
This film manages to redeem Hollywood in the eyes of people who feared it long lost in a dark sea of clichés and predictability. Darabont shows us that artists still work in the Hollywood studios and production facilities. These artists show their capability to produce art; real art that inspires you to look at the deeper aspects of life and the world around you. The Shawshank Redemption delivers much-needed breath of fresh air for anyone who realizes the capability of film. It proves that masters of the craft still live on this earth, and still bless us with timeless masterpieces that we will never forget.","weswalker","https://www.imdb.com/user/ur0997166/?ref_=tt_urv","27 August 2002","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Masterpiece","https://www.imdb.com/review/rw1984403/?ref_=tt_urv","59 out of 78 found this helpful. Was this review helpful? Sign in to vote.
Permalink","Michael_Elliott","https://www.imdb.com/user/ur13134536/?ref_=tt_urv","2 December 2008",""
"","","never give up hope","https://www.imdb.com/review/rw1116087/?ref_=tt_urv","""The Shawshank Redemption"" should have won Best Picture for 1994. A story of banker Andy Dufresne (Tim Robbins) getting falsely convicted of murder and sent to the hellish Shawshank prison, the movie is beyond amazing. In prison, Andy meets Ellis Boyd ""Red"" Redding (Morgan Freeman), who was imprisoned many years earlier. Red gets Andy a poster of Rita Hayworth. Over the next twenty years, Andy experiences all the horrors that one would expect in jail: beatings by the guards, rapes by other inmates, and so on. But he never gives up hope.
This movie, like ""Carrie"", ""The Shining"", ""Dolores Claiborne"", ""The Green Mile"" and ""Hearts in Atlantis"", just goes to show what a great author Stephen King is. When we think of horror, we think of spooky horror, but ""The Shawshank Redemption"" is a different kind: personal horror. Pure genius. I can only hope that in the coming years, this movie is recognized as what it is: a masterpiece. I can't believe that it won no Oscars!
40 out of 52 found this helpful. Was this review helpful? Sign in to vote.
Permalink","lee_eisenberg","https://www.imdb.com/user/ur4888011/?ref_=tt_urv","1 July 2005","10"
"","","The UNIVERSALITY of Shawshank: Andy Dufresne as ""EVERYMAN""","https://www.imdb.com/review/rw3517967/?ref_=tt_urv","From PASTO, COLOMBIA-Via: L. A. CA; CALI, COLOMBIA+ORLANDO, FL ------------------The ONLY Tony Kiss Castillo on FaceBook!--------------
If you have never seen SHAWSHANK, this review is aimed, primarily, at you. I suppose there must be some of you out there!... What is quite difficult to fathom is that anyone with any REAL interest in Cinema could have managed to avoid seeing it for the 20+ years since its release!
In a Perfect World, SHAWSHANK is the movie of choice. What a serendipitous confluence of diverse and inspired elements! It is the exception that proves the Murphy's Law rule. Just look at the IMDb breakdown analysis of the vote In every area of human activity, there is always that ""2%""! SHAWSHANK is no exception. Precisely 2% of voters rated SHAWSHANK 1 Star! ....I invite you to check!
In our culture there is a recurring undercurrent nightmare scenario of long-term wrongful imprisonment. Make that a Universal scenario, perhaps, in ALL cultures. Not a SPOILER here, because this point is clearly established in the opening 5 minutes. SHAWSHANK is the ultimate Black/White ""BRO-mance"" Yet, uniquely, Morgan Freeman's character, ""Red"", is anything but the ""predestined to an untimely end"" sidekick!... The entire film is literally narrated from Red's perspective. If anything, Red's ""Main-Man"" prison status gives him a bit of a dominant role in their relationship. But the interaction of their characters is clearly that of 2 equals, gradually morphing into one of lifelong best BUDS!
I can't help but wonder if, while cast and crew were in the midst of making SHAWSHANK, any of them imagined the magnitude of the cinematic milestone they were involved in! Box Office results are rather jaw-dropping...but in a negative sense: Opening Weekend-A starkly paltry Position #144 among 1994 releases of just $750K U. S.! Overall...1994 Box Office, did not even make the Top 50! SHAWSHANK occupied a lackluster Spot #51, to be exact, with just over $28 Million taken in!
My initial interest was piqued by a theatrical trailer, but I had to go by myself!!! My wife, who is a rather avid moviegoer, said...""H-m-m-m-m, a prison drama?....What's the Title?"" After hearing it, she responded, ""The SHAW- What? No, Thanks!... I PASS!"" Well, needless to say, after a first viewing, my awe was complete and unmitigated...so I insisted on dragging her along just days later, for my second viewing. My wife became an instant SHAWSHANK believer. We both categorize this film in our lifetime top 5 favorites and have seen it numerous times! Perhaps SHAWSHANK got off to such an inauspicious Box Office start for the same reasons that almost resulted in my wife not going to see it in 1994!
I could literally write volumes on this movie, but, of course cannot here! A few more highlights: Interestingly, 7 Oscar Nominations, but ZER0 wins! Had the amazingly bad luck of having to compete with the mighty feel-good classic, FORREST GUMP, which steamrolled that year with 6 Oscars and #1 at the Box Office with $330 Million, about 12X SHAWSHANK's! Wonder what the Academy's members take on this would be today? Just look at the 7 categories where it was nominated!... Each one is exquisitely superb! Not a single Golden Statuette...WOW!!!!!!!
As far as Suspension of Disbelief is concerned, in the self-contained and totally insulated prison environment, it isn't much of a stretch to imagine an Old-Testament thumping warden anointing himself with almost god-like powers! Stranger things have happened, yes? In one odd twist, when one thinks of Illegal Immigration, Mexico, or Central America, to the USA, invariably, is the route that comes to mind...not the opposite, right!?!?!?
Despite having seen SHAWSHANK at least 15 times, it never ceases to mesmerize me. My only real critique: I think Andy would have to have been a magician to do what he did at the end, at least, so seamlessly!!! Can't go into any more detail without treading into SP**LER territory, so you'll just have to figure it out for yourself! SHAWSHANK is truly a film for the ages!
10********** STARS.... ENJOY!/DISFRUTELA!
Any comments, questions or observations, in English o en Español, are most welcome!","KissEnglishPasto","https://www.imdb.com/user/ur47239035/?ref_=tt_urv","2 August 2016","10"
"","","Hope can set you free and so can this remarkable film","https://www.imdb.com/review/rw1790341/?ref_=tt_urv","One of my favorite movies ever,The Shawshank Redemption is a modern day classic as it tells the story of two inmates who become friends and find solace over the years in which this movie takes place.Based on a Stephen King novel,this movie makes us feel different watching this film than most others as this is an incredibly realistic film.Tim Robbins stars as Andy Dufresne who is convicted of murder and Morgan Freeman as Ellis Boyd ""Red"" Redding who is a fellow inmate and close friend of Dufresne and Bob Gunton as Warden Samuel Norton who is the Warden of Shawshank State Prison and is a character who has mixed feelings and emotions towards everyone around him and a character who is sometimes easy to like and at other times easy to despise.This film is easily considered one of the greatest films of all time and I definitely agree with this fact.It was nominated for seven Academy Awards including (Best Picture, Best Actor  Morgan Freeman, Best Adapted Screenplay, Best Cinematography, Best Editing, Best Original Score, and Best Sound) but didn't win any due to tough competition from the film Forrest Gump.I personally think that Tim Robbins should have been nominated for the Best Actor award as he really gave the performance of his career.Bravo to this brilliant modern day classic!","blairgallop7","https://www.imdb.com/user/ur15148249/?ref_=tt_urv","30 December 2007","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Shawshank Redemption- Prison Film is Redeemed by Quality ****","https://www.imdb.com/review/rw2375958/?ref_=tt_urv","15 out of 18 found this helpful. Was this review helpful? Sign in to vote.
Permalink","edwagreen","https://www.imdb.com/user/ur2542703/?ref_=tt_urv","26 January 2011","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Two movies in one","https://www.imdb.com/review/rw0348953/?ref_=tt_urv","1,024 out of 1,264 found this helpful. Was this review helpful? Sign in to vote.
Permalink","Douglas-2","https://www.imdb.com/user/ur0094239/?ref_=tt_urv","16 August 1998",""
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Some birds aren't meant to be caged.","https://www.imdb.com/review/rw2284594/?ref_=tt_urv","890 out of 959 found this helpful. Was this review helpful? Sign in to vote.
Permalink","hitchcockthelegend","https://www.imdb.com/user/ur16161013/?ref_=tt_urv","24 July 2010","10"
"","","An incredible movie. One that lives with you.","https://www.imdb.com/review/rw6606154/?ref_=tt_urv","It is no wonder that the film has such a high rating, it is quite literally breathtaking. What can I say that hasn't said before? Not much, it's the story, the acting, the premise, but most of all, this movie is about how it makes you feel. Sometimes you watch a film, and can't remember it days later, this film loves with you, once you've seen it, you don't forget.
The ultimate story of friendship, of hope, and of life, and overcoming adversity.
I understand why so many class this as the best film of all time, it isn't mine, but I get it. If you haven't seen it, or haven't seen it for some time, you need to watch it, it's amazing. 10/10.
190 out of 203 found this helpful. Was this review helpful? Sign in to vote.
Permalink","Sleepin_Dragon","https://www.imdb.com/user/ur15311310/?ref_=tt_urv","17 February 2021","10"
"","","Don't Rent Shawshank.","https://www.imdb.com/review/rw1221355/?ref_=tt_urv","I'm trying to save you money; this is the last film title that you should consider borrowing. Renting Shawshank will cost you five bucks... just plunk down the $25 and own the title. You'll wind up going back to this gem time and time again. This is one of few movies that are truly timeless. And it's entertaining and moving, no matter how many times you view it.
Forget about what others (including myself) might suggest you'll discover in ""The Shawshank Redemption;"" when you watch it, you'll identify something very personal in your own life with a scene, a character, or a moment in this uncomplicated movie. When you need hope, you'll look for Shawshank. When you want to believe in the will of overcoming even the greatest obstacles, Shawshank will uplift you in ways that you can't find in movies today.
Some liken the film to some kind of spiritual awakening. Of course, some can go to a church or mosque to find enlightenment and Faith in humanity, but most places of worship are open only certain days or times. But when you need affirmation of the lasting bond of friendships that prevail over the most dire circumstances, Shawshank will give it to you. It makes grown men (like me) cry, still. I wonder whether Shawshank was truly meant for viewing in the privacy of the home, because it is a personal experience that really makes you look inward. Nominated for seven, this is the best film that never one a single Oscar.
How ironic that an innocent man winds up being surrounded by the corruption of the legal system. Shawshank itself is similar to the character of Andy Dufresne. Prejudging this classic film, critics couldn't get past the title. The public followed suit, initially dismissing Shawshank, which failed in the box office just like ""It's a Wonderful Life"" and ""Citizen Kane."" It could have just whithered away on the store shelves, like Andy Dufresne could have in his own cell. But the characters prevailed, because Andy -- And Shawshank -- stayed true. Now, these movies are right up there as the most popular films of all time.
Anyone who has yet to watch Shawshank may be so jaded of movies, or the film's title, or how a 2-1/2- hour movie set inside the walls of a prison can manage to tap the soul of such a wide range of people. Shawshank has not one explosion. I wonder if it even has a single special effect or digitally- enhanced frame.
But every aspect of Shawshank fit together. The acting from the top to the bit part. The musical score. The editing. The photography. The story, from opening credits to final scene. All involved, including the town of Mansfield, Ohio (where Shawshank was actually filmed) played their roles perfectly. Shawshank is a must- see, must- own title.","EyeDunno","https://www.imdb.com/user/ur0265899/?ref_=tt_urv","21 November 2005","10"
"","","This is How Movies Should Be Made","https://www.imdb.com/review/rw1822343/?ref_=tt_urv","This movie is not your ordinary Hollywood flick. It has a great and deep message. This movie has a foundation and just kept on being built on from their and that foundation is hope.
Other than just the message of this movie the acting was phenomenal. Tim Robbins gave one of the greatest performances ever. He was inspiring, intelligent and most of all positive. His performance just made me smile. Robbins plays Andy Dufresne who was wrongfully convicted of murdering his wife and her lover. He is gets to life sentences but yet never gives up hope. In he becomes friends with Ellis Boyd ""Red"" Redding played by Morgan Freeman. Freeman who gives the finest performance of his career has unlike Robbins lost hope. He is in deep regret of the crime that he committed. His way of deflecting the pain away is by trying to not feel anything at all. With his friendship with Andy he learns that without our hopes and dreams we have nothing. Andy also becomes friends with the rest of Red's group. James Whitmore also gave a great performance as Brooks Halten who gets out of prison parole but in the words of Red he has been ""institutionalized"".
The directing by Frank Darabont was just magnificent. He kept this movie at a great steady pace along with the writing and great cinematography. He portrayed prison life in such a horrifying way, but not in terms of the physical pain but the stress and pain that wares mentally on the inmates, some of which deserve a second chance.
Whatever you do, don't listen to the people who say this movie is overrated because this is one of the most inspiring and greatest movies ever. It has everything you could possibly want.","alexkolokotronis","https://www.imdb.com/user/ur16117882/?ref_=tt_urv","18 February 2008","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","A classic piece of unforgettable film-making.","https://www.imdb.com/review/rw1288098/?ref_=tt_urv","1,320 out of 1,485 found this helpful. Was this review helpful? Sign in to vote.
Permalink","kaspen12","https://www.imdb.com/user/ur1898687/?ref_=tt_urv","10 February 2006","10"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=tt_urv","Enthralling, fantastic, intriguing, truly remarkable!","https://www.imdb.com/review/rw2053711/?ref_=tt_urv","159 out of 184 found this helpful. Was this review helpful? Sign in to vote.
Permalink","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","17 April 2009","10"
